,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,Year_D,Month_D,Act,Boat,Injur_Type,Spec
0,25-Jun-2018,2018,Boat,USA,CALIFORNIA,"Oceanside, San Diego County",Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18h00,White shark,2018,JUN,PADDLING,Yes,NO INJURY,WHITE
1,18-Jun-2018,2018,Unprovoked,USA,GEORGIA,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,N,14h00  -15h00,UNKNOWN,2018,JUN,STANDING,No,MINOR INJURIES,UNKONWN
3,08-Jun-2018,2018,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Arrawarra Headland,Surfing,M,UNKNOWN,Minor injury to lower leg,N,UNKNOWN,2 m shark,2018,JUN,SURFING,No,MINOR INJURIES,UNKONWN
4,04-Jun-2018,2018,Provoked,MEXICO,COLIMA,La Ticla,Free diving,M,UNKNOWN,Lacerations to leg & hand shark PROVOKED INCIDENT,N,UNKNOWN,"Tiger shark, 3m",2018,JUN,DIVING,No,LACERATIONS,TIGER
5,03-Jun-2018,2018,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Flat Rock, Ballina",Kite surfing,M,UNKNOWN,"No injury, board bitten",N,UNKNOWN,UNKNOWN,2018,JUN,SURFING,No,NO INJURY,UNKONWN
6,03-Jun-2018,2018,Unprovoked,BRAZIL,PERNAMBUCO,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,Late afternoon,Tiger shark,2018,JUN,SWIMMING,No,FATAL INJURY,TIGER
7,27-May-2018,2018,Unprovoked,USA,FLORIDA,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,UNKNOWN,"Lemon shark, 3'",2018,MAY,FISHING,Yes,MINOR INJURIES,LEMON
8,26-May-2018,2018,Unprovoked,USA,FLORIDA,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,N,17h00,"Bull shark, 6'",2018,MAY,WALKING,No,BITTEN,BULL
9,26-May-2018,2018,Unprovoked,USA,FLORIDA,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,14h00,UNKNOWN,2018,MAY,STANDING,No,MINOR INJURIES,UNKONWN
10,24-May-2018,2018,Provoked,AUSTRALIA,QUEENSLAND,Cairns Aquarium,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark,2018,MAY,FEEDING,No,MINOR INJURIES,REEF
11,21-May-2018,2018,Unprovoked,USA,SOUTH CAROLINA,"Isle of Palms,  Charleston County",Boogie boarding,M,10,Injuries to lower right leg and foot,N,UNKNOWN,UNKNOWN,2018,MAY,BOARDING,No,INJURED,UNKONWN
12,13-May-2018,2018,Unprovoked,USA,SOUTH CAROLINA,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,15h00,UNKNOWN,2018,MAY,SWIMMING,No,OTHERS,UNKONWN
14,May 2018,2018,Provoked,AUSTRALIA,WESTERM AUSTRALIA,Dugong Bay,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,UNKNOWN,"Tawny nurse shark, 2m",2018,UNKNOWN,FEEDING,No,LACERATIONS,NURSE
15,12-May-2018,2018,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,"Nahoon Beach, East London",Surfing,M,UNKNOWN,"Minor injury, marks on board",N,11h00,UNKNOWN,2018,MAY,SURFING,No,MINOR INJURIES,UNKONWN
16,09-May-2018,2018,Questionable,AUSTRALIA,NEW SOUTH WALES,"Sharpes Beach, Ballina",Surfing,M,UNKNOWN,"No injury, surfboard damaged",N,10h30,Shark involvement not confirmed,2018,MAY,SURFING,No,NO INJURY,UNKONWN
17,Reported 30-Apr-2018,2018,Unprovoked,THAILAND,HUA HIN,Sai Noi Beach,Swimming,M,UNKNOWN,Minor injury to ankle,N,UNKNOWN,UNKNOWN,2018,APR,SWIMMING,No,MINOR INJURIES,UNKONWN
18,28-Apr-2018,2018,Unprovoked,COSTA RICA,COCOS ISLAND,Manuelita,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10h40,Tiger shark,2018,APR,DIVING,No,NO INJURY,TIGER
19,28-Apr-2018,2018,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Gearys Beach,Surfing,M,UNKNOWN,"No injury, knocked off board by shark",N,16h50,UNKNOWN,2018,APR,SURFING,No,NO INJURY,UNKONWN
20,25-Apr-2018,2018,Questionable,AUSTRALIA,NEW SOUTH WALES,Lennox Head,Surfing,M,UNKNOWN,No injury,N,07h00,Questionable,2018,APR,SURFING,No,NO INJURY,UNKONWN
21,25-Apr-2018,2018,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,09h30,3 m shark,2018,APR,SURFING,No,NO INJURY,UNKONWN
22,24-Apr-2018,2018,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"South Point, Gracetown",Surfing,M,UNKNOWN,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m",2018,APR,SURFING,No,NO INJURY,WHITE
23,23-Apr-2018,2018,Unprovoked,MALDIVES,ALIFU ALIFU ATOLL,Madoogali,Fishing,M,32,5-inch cut to hand,N,21h50,Tiger shark,2018,APR,FISHING,Yes,OTHERS,TIGER
24,22-Apr-2018,2018,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m",2018,APR,SKIING,No,NO INJURY,WHITE
25,19-Apr-2018,2018,Unprovoked,USA,HAWAII,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,N,UNKNOWN,6' shark,2018,APR,BOARDING,No,LACERATIONS,UNKONWN
26,15-Apr-2018,2018,Unprovoked,THAILAND,HUA HIN,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,UNKNOWN,Juvenile bull shark,2018,APR,SWIMMING,No,LACERATIONS,BULL
27,15-Apr-2018,2018,Unprovoked,BRAZIL,PERNAMBUCO,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",UNKNOWN,UNKNOWN,UNKNOWN,2018,APR,SWIMMING,No,INJURED,UNKONWN
28,15-Apr-2018,2018,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,UNKNOWN,UNKNOWN,2018,APR,SURFING,No,LACERATIONS,UNKONWN
29,15-Apr-2018,2018,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,08h00,UNKNOWN,2018,APR,SURFING,No,LACERATIONS,UNKONWN
30,14-Apr-2018,2018,Unprovoked,BAHAMAS,NEW PROVIDENCE,Nirvana Beach,Surfing,M,UNKNOWN,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark,2018,APR,SURFING,No,INJURED,TIGER
